propertyCid,dataGroupCid,dataCid,filePath,uploadedAt,htmlLink
bafkreigzz5foh5ts76vvhxphzulptpnjwznog6lcnxw5wsvfqa7zlxeioa,bafkreih226p5vjhx33jwgq7trblyplfw7yhkununuuahgpfok3hnh5mjwq,bafkreih43b2y2a5srbzoelkourlhg7y53tiiuvlskjvs7gqj6igcmyz6ra,"/content/submit-photo/bafkreigzz5foh5ts76vvhxphzulptpnjwznog6lcnxw5wsvfqa7zlxeioa/bafkreih226p5vjhx33jwgq7trblyplfw7yhkununuuahgpfok3hnh5mjwq.json",2025-07-30T15:23:36.146Z,http://dweb.link/ipfs/bafybeieoyt3kassdnl6r24y4vy7ixxz2fe6jy5pcsdnycpu6sbba3r7uwq
bafkreigzz5foh5ts76vvhxphzulptpnjwznog6lcnxw5wsvfqa7zlxeioa,bafkreigsqoofbrni7fye3dtsjuvtwv4nmmdzrppvblhzlsq3xpucn5daeq,bafkreignrern2ud3esct6fr7dhwlfew63c6fzsgyeiuwlejny4hdbvp5xq,"/content/submit-photo/bafkreigzz5foh5ts76vvhxphzulptpnjwznog6lcnxw5wsvfqa7zlxeioa/bafkreigsqoofbrni7fye3dtsjuvtwv4nmmdzrppvblhzlsq3xpucn5daeq.json",2025-07-30T15:23:36.443Z,http://dweb.link/ipfs/bafybeieoyt3kassdnl6r24y4vy7ixxz2fe6jy5pcsdnycpu6sbba3r7uwq
